00000370,00000001,000ffffd,18
01000b40,00000001,000ffffe,1972692
01000b8c,00000001,000ffffe,1973161
01000b48,00000002,000ffffe,1973397
01000b8c,00000001,000ffffe,1973514
01000ba8,00000001,000ffffe,1973813
01000b94,00000001,000ffffe,1973963
01000b54,0000000e,000801bf,1974323
01000b94,00000001,000ffffe,1974484
01000bb0,00000001,000ffffe,1974811
01000b84,000002db,0008008f,1975705
01000b54,0000000e,000801bf,1975743
01000b98,00000001,000ffffe,1975947
01000b84,000002db,0008013b,1976027
01000b78,00000002,000ffffe,1976112
01000b78,00000002,000ffffe,1976140
01000b94,00000001,000ffffe,1976425
01000b84,000002db,0008014a,1976786
01000b58,00000001,000ffffe,1976840
01000ba8,00000001,000ffffe,1977048
01000ba0,00000001,000ffffe,1977424
01000b48,00000002,000ffffe,1977853
01000b8c,00000001,000ffffe,1978306
01000b28,00000001,000ffffe,1978805
01000ba4,00000001,000ffffe,1979055
01000b98,00000001,000ffffe,1979420
01000ba0,00000001,000ffffe,1979603
01000b70,00000001,000ffffe,1979695
01000ba4,00000001,000ffffe,1980013
01000b70,00000001,000ffffe,1980412
01000b94,00000001,000ffffe,1980612
01000b28,00000001,000ffffe,1980984
01000b54,0000000e,000801be,1981423
01000b8c,00000001,000ffffe,1981863
01000ba0,00000001,000ffffe,1982090
01000b98,00000001,000ffffe,1982204
01000ba8,00000001,000ffffe,1982501
01000b8c,00000001,000ffffe,1982650
01000ba8,00000001,000ffffe,1982725
01000b94,00000001,000ffffe,1982763
01000ba8,00000001,000ffffe,1983022
01000b54,0000000e,000801bf,1983165
01000b58,00000001,000ffffe,1983489
01000b48,00000002,000ffffe,1983659
01000b54,0000000e,000801bf,1983756
01000b58,00000001,000ffffe,1983786
01000ba4,00000001,000ffffe,1983808
01000b40,00000001,000ffffe,1984091
01000b54,0000000e,000801c1,1984246
01000ba0,00000001,000ffffe,1984748
01000ba4,00000001,000ffffe,1985074
01000b84,000002db,000800c4,1985306
01000ba8,00000001,000ffffe,1985509
01000b48,00000002,000ffffe,1986300
01000b28,00000001,000ffffe,1986395
01000b84,000002db,000801a5,1986457
01000b94,00000001,000ffffe,1986715
01000b84,000002db,000800ea,1986838
01000b54,0000000e,000801c1,1987128
01000b98,00000001,000ffffe,1987587
01000ba0,00000001,000ffffe,1988095
01000b40,00000001,000ffffe,1988589
01000b94,00000001,000ffffe,1989076
01000b40,00000001,000ffffe,1989320
01000b98,00000001,000ffffe,1989682
01000ba0,00000001,000ffffe,1990103
01000b94,00000001,000ffffe,1990314
01000b54,0000000e,000801bf,1990433
01000b48,00000002,000ffffe,1990714
01000b94,00000001,000ffffe,1990860
01000b98,00000001,000ffffe,1990934
01000ba0,00000001,000ffffe,1991243
01000ba4,00000001,000ffffe,1991398
01000b78,00000002,000ffffe,1991477
01000b78,00000002,000ffffe,1991788
01000b8c,00000001,000ffffe,1991943
01000b8c,00000001,000ffffe,1992293
01000b58,00000001,000ffffe,1992740
01000b58,00000001,000ffffe,1992964
01000b70,00000001,000ffffe,1993780
01000b84,000002db,000800c5,1994078
01000b98,00000001,000ffffe,1994236
01000b54,0000000e,000801bf,1994749
01000b54,0000000e,000801c1,1995239
01000b94,00000001,000ffffe,1995711
01000b28,00000001,000ffffe,1995954
01000b28,00000001,000ffffe,1996377
01000ba0,00000001,000ffffe,1996528
01000b54,0000000e,000801c1,1996617
01000b84,000002db,0008005c,1996806
01000b48,00000002,000ffffe,1996915
01000b70,00000001,000ffffe,1997309
01000b58,00000001,000ffffe,1997507
01000ba0,00000001,000ffffe,1997878
01000b40,00000001,000ffffe,1998064
01000b94,00000001,000ffffe,1998397
01000b8c,00000001,000ffffe,1998564
01000b8c,00000001,000ffffe,1998648
01000ba0,00000001,000ffffe,1998962
01000b48,00000002,000ffffe,1999360
01000b70,00000001,000ffffe,1999558
01000b28,00000001,000ffffe,1999948
01000b84,000002db,000801bd,2000388
01000b40,00000001,000ffffe,2000526
01000b28,00000001,000ffffe,2000623
01000b58,00000001,000ffffe,2000697
01000b98,00000001,000ffffe,2000717
01000b28,00000001,000ffffe,2000721
01000b54,0000000e,000801bf,2000723
01000b8c,00000001,000ffffe,2000995
01000b84,000002db,0008019f,2001063
01000b84,000002db,000800cd,2001402
01000b8c,00000001,000ffffe,2001404
01000b54,0000000e,000801c0,2001622
01000b8c,00000001,000ffffe,2001712
01000b58,00000001,000ffffe,2001764
01000b40,00000001,000ffffe,2002030
01000b28,00000001,000ffffe,2002435
01000b58,00000001,000ffffe,2002638
01000b8c,00000001,000ffffe,2002740
01000b70,00000001,000ffffe,2003031
01000ba0,00000001,000ffffe,2003177
01000b54,0000000e,000801bf,2003535
01000b8c,00000001,000ffffe,2003695
01000ba0,00000001,000ffffe,2003782
01000ba8,00000001,000ffffe,2003826
01000b78,00000002,000ffffe,2004089
01000b54,0000000e,000801c0,2004504
01000b94,00000001,000ffffe,2004693
01000b40,00000001,000ffffe,2005066
01000b78,00000002,000ffffe,2005254
01000b48,00000002,000ffffe,2005348
01000b98,00000001,000ffffe,2005666
01000b48,00000002,000ffffe,2005827
01000b58,00000001,000ffffe,2006178
01000b40,00000001,000ffffe,2006626
01000b28,00000001,000ffffe,2007090
01000b28,00000001,000ffffe,2007594
01000ba8,00000001,000ffffe,2008086
01000b78,00000002,000ffffe,2008573
01000ba8,00000001,000ffffe,2009055
01000b28,00000001,000ffffe,2009297
01000ba0,00000001,000ffffe,2009658
01000b98,00000001,000ffffe,2009839
01000b28,00000001,000ffffe,2009930
01000b58,00000001,000ffffe,2009976
01000b40,00000001,000ffffe,2010239
01000b78,00000002,000ffffe,2010710
01000b84,000002db,00080137,2011101
01000ba8,00000001,000ffffe,2011150
01000b04,00000001,000ffffe,2011371
01000b78,00000002,000ffffe,2011483
01000b78,00000002,000ffffe,2011539
01000b8c,00000001,000ffffe,2011806
00000abc,00000008,000801c6,2012219
00000a2c,00000085,00080040,2012819
000009d0,00000001,000ffffe,2012925
00000ac0,00000001,000ffffe,2013284
00000a58,00000001,000ffffe,2013464
00000a34,00000001,000ffffe,2013794
00000a48,00000001,000ffffe,2014231
00000a50,00000001,000ffffe,2014450
00000a48,00000001,000ffffe,2014560
00000a18,00000001,000ffffe,2014855
00000a20,00000002,000ffffe,2015004
00000a3c,00000001,000ffffe,2015349
00000a50,00000001,000ffffe,2015794
00000a18,00000001,000ffffe,2016017
00000aa0,00000001,000ffffe,2016129
000009d0,00000001,000ffffe,2016425
000009fc,00000013,000801c7,2016831
00000a2c,00000181,0008005f,2017663
000009e8,00000001,000ffffe,2017784
00000a3c,00000001,000ffffe,2018037
00000a40,00000001,000ffffe,2018164
00000a00,00000001,000ffffe,2018228
000009fc,0000000e,000801c6,2018513
00000a4c,00000001,000ffffe,2018908
00000a18,00000001,000ffffe,2019384
00000a00,00000001,000ffffe,2019894
000009f0,00000002,000ffffe,2020390
00000a4c,00000001,000ffffe,2020637
00000a18,00000001,000ffffe,2021001
000009d0,00000001,000ffffe,2021423
00000a40,00000001,000ffffe,2021874
00000a4c,00000001,000ffffe,2022100
00000a34,00000001,000ffffe,2022453
000009fc,0000000e,000801c7,2022643
00000a34,00000001,000ffffe,2022719
00000a00,00000001,000ffffe,2022764
00000a50,00000001,000ffffe,2022787
00000a48,00000001,000ffffe,2022799
00000a3c,00000001,000ffffe,2023077
000009fc,0000000e,000801c7,2023707
00000a2c,00000237,0008009c,2024054
00000a50,00000001,000ffffe,2024257
00000a00,00000001,000ffffe,2024591
00000a2c,00000245,000800a4,2024649
00000a3c,00000001,000ffffe,2025030
00000a4c,00000001,000ffffe,2025250
000009f0,00000002,000ffffe,2025633
00000a20,00000002,000ffffe,2026064
00000ad0,00000001,000ffffe,2026279
00000a40,00000001,000ffffe,2027089
00000a2c,0000027d,00080105,2027295
000009fc,00000013,000801c8,2027562
000009d0,00000001,000ffffe,2027772
00000a00,00000001,000ffffe,2028126
00000a34,00000001,000ffffe,2028543
000009d0,00000001,000ffffe,2028857
00000acc,00000001,000ffffe,2028910
000009fc,0000000e,000801c6,2028950
000009fc,0000000e,000801c6,2028964
000009f0,00000002,000ffffe,2029231
000009f0,00000002,000ffffe,2029371
000009e8,00000001,000ffffe,2029712
00000a40,00000001,000ffffe,2030155
000009e8,00000001,000ffffe,2030377
00000a20,00000002,000ffffe,2030761
000009f0,00000002,000ffffe,2030953
00000a3c,00000001,000ffffe,2031288
000009e8,00000001,000ffffe,2031728
01000ba4,00000001,000ffffe,2032188
01000b8c,00000001,000ffffe,2033181
01000ba8,00000001,000ffffe,2033427
01000b84,000002e9,00080095,2033434
01000ba4,00000001,000ffffe,2033790
01000ba4,00000001,000ffffe,2033972
01000b58,00000001,000ffffe,2034303
01000b48,00000002,000ffffe,2034470
01000b28,00000001,000ffffe,2034792
01000b8c,00000001,000ffffe,2034954
01000b28,00000001,000ffffe,2035436
01000b8c,00000001,000ffffe,2035517
01000b28,00000001,000ffffe,2035579
01000ba0,00000001,000ffffe,2035590
01000b54,0000000e,000801c6,2035609
01000ba4,00000001,000ffffe,2035871
01000b98,00000001,000ffffe,2036009
01000b84,000002e9,00080151,2036019
01000b84,000002e9,0008005a,2036302
01000ba4,00000001,000ffffe,2036350
01000b40,00000001,000ffffe,2036521
01000b54,0000000e,000801c7,2036620
01000b98,00000001,000ffffe,2036922
01000ba0,00000001,000ffffe,2037080
01000ba4,00000001,000ffffe,2037431
01000b78,00000002,000ffffe,2037608
01000b94,00000001,000ffffe,2037935
01000ba0,00000001,000ffffe,2038371
01000b58,00000001,000ffffe,2038829
01000ba4,00000001,000ffffe,2039330
01000ba0,00000001,000ffffe,2039581
01000ba0,00000001,000ffffe,2039707
01000b54,0000000e,000801c6,2040023
01000b40,00000001,000ffffe,2040162
01000ba8,00000001,000ffffe,2040510
01000b8c,00000001,000ffffe,2040956
01000b94,00000001,000ffffe,2041419
01000b28,00000001,000ffffe,2041651
01000b78,00000002,000ffffe,2042008
01000b40,00000001,000ffffe,2042425
01000b48,00000002,000ffffe,2042875
01000b28,00000001,000ffffe,2043099
01000b40,00000001,000ffffe,2043212
01000b48,00000002,000ffffe,2043270
01000b54,0000000e,000801c7,2043311
01000b58,00000001,000ffffe,2043313
01000ba4,00000001,000ffffe,2043321
01000b8c,00000001,000ffffe,2043597
01000b94,00000001,000ffffe,2044007
01000b8c,00000001,000ffffe,2044723
01000b48,00000002,000ffffe,2044844
01000b8c,00000001,000ffffe,2045143
01000b84,000002e9,00080053,2045228
01000b54,0000000e,000801c7,2045546
01000b70,00000001,000ffffe,2046000
01000b40,00000001,000ffffe,2046234
01000b8c,00000001,000ffffe,2046591
01000b48,00000002,000ffffe,2046771
01000b8c,00000001,000ffffe,2046860
01000b54,0000000e,000801c8,2047190
01000b8c,00000001,000ffffe,2047336
01000be0,00000008,000801ca,2047423
01000b70,00000001,000ffffe,2047728
01000b94,00000001,000ffffe,2048124
01000b28,00000001,000ffffe,2048594
01000b28,00000001,000ffffe,2049101
01000b48,00000002,000ffffe,2049356
01000b48,00000002,000ffffe,2049723
01000b58,00000001,000ffffe,2049906
01000b28,00000001,000ffffe,2050238
01000b40,00000001,000ffffe,2050676
01000ba4,00000001,000ffffe,2051135
01000b40,00000001,000ffffe,2051365
01000b78,00000002,000ffffe,2051721
01000ba8,00000001,000ffffe,2051898
01000b78,00000002,000ffffe,2052228
01000b54,0000000e,000801c8,2052405
01000b48,00000002,000ffffe,2052476
01000b48,00000002,000ffffe,2052518
01000b8c,00000001,000ffffe,2052778
01000ba8,00000001,000ffffe,2052909
01000b94,00000001,000ffffe,2052975
01000b78,00000002,000ffffe,2053281
01000b48,00000002,000ffffe,2053434
01000b94,00000001,000ffffe,2053510
01000b78,00000002,000ffffe,2053550
01000ba4,00000001,000ffffe,2053569
01000b28,00000001,000ffffe,2053851
01000b58,00000001,000ffffe,2054264
01000b40,00000001,000ffffe,2054471
01000be4,00000001,000ffffe,2054867
01000b98,00000001,000ffffe,2055253
01000b84,000002e9,0008012d,2055319
01000b98,00000001,000ffffe,2055718
01000b70,00000001,000ffffe,2055951
01000b98,00000001,000ffffe,2056068
01000ba8,00000001,000ffffe,2056127
01000b40,00000001,000ffffe,2056157
01000b70,00000001,000ffffe,2056444
01000b94,00000001,000ffffe,2056588
01000b54,0000000e,000801c8,2056945
01000b98,00000001,000ffffe,2057376
01000b98,00000001,000ffffe,2057838
01000b78,00000002,000ffffe,2058342
01000bec,00000001,000ffffe,2058593
01000b70,00000001,000ffffe,2058959
01000b70,00000001,000ffffe,2059382
01000b84,000002e9,000800c5,2060338
01000ba8,00000001,000ffffe,2060401
01000b58,00000001,000ffffe,2060616
01000b84,000002e9,0008018f,2060716
01000b28,00000001,000ffffe,2060724
01000ba0,00000001,000ffffe,2061018
01000b78,00000002,000ffffe,2061406
01000b40,00000001,000ffffe,2061599
01000b78,00000002,000ffffe,2061969
01000b94,00000001,000ffffe,2062153
01000b58,00000001,000ffffe,2062246
01000b94,00000001,000ffffe,2062293
01000be4,00000001,000ffffe,2062317
01000b78,00000002,000ffffe,2062602
01000b28,00000001,000ffffe,2063015
01000b28,00000001,000ffffe,2063494
01000b48,00000002,000ffffe,2063735
01000b94,00000001,000ffffe,2064094
01000b94,00000001,000ffffe,2064514
01000b8c,00000001,000ffffe,2064964
01000ba4,00000001,000ffffe,2065461
01000b94,00000001,000ffffe,2065710
01000b8c,00000001,000ffffe,2065835
01000b40,00000001,000ffffe,2065898
01000b70,00000001,000ffffe,2065930
01000b98,00000001,000ffffe,2066218
01000b78,00000002,000ffffe,2066635
01000ba4,00000001,000ffffe,2067626
01000b84,000002e9,000800eb,2067858
01000b58,00000001,000ffffe,2068122
01000ba8,00000001,000ffffe,2068610
01000b58,00000001,000ffffe,2069094
01000b98,00000001,000ffffe,2069576
01000ba4,00000001,000ffffe,2070057
01000b40,00000001,000ffffe,2070298
01000b98,00000001,000ffffe,2070419
01000b40,00000001,000ffffe,2070480
01000be0,00000008,000801cc,2070518
01000b54,0000000e,000801c6,2070540
01000b54,0000000e,000801c7,2070820
01000b94,00000001,000ffffe,2071219
01000b8c,00000001,000ffffe,2071697
01000ba4,00000001,000ffffe,2072208
01000b48,00000002,000ffffe,2072465
01000b54,0000000e,000801c6,2072845
01000b8c,00000001,000ffffe,2073708
01000b84,000002e9,0008014d,2074000
01000b48,00000002,000ffffe,2074207
01000ba4,00000001,000ffffe,2074695
01000b70,00000001,000ffffe,2074940
01000ba8,00000001,000ffffe,2075063
01000b70,00000001,000ffffe,2075125
01000b98,00000001,000ffffe,2075396
01000b78,00000002,000ffffe,2075533
01000b40,00000001,000ffffe,2076314
01000b84,000002e9,0008008a,2076616
01000ba0,00000001,000ffffe,2076775
01000b58,00000001,000ffffe,2077006
01000b8c,00000001,000ffffe,2077122
01000b94,00000001,000ffffe,2077420
01000b78,00000002,000ffffe,2077810
01000b48,00000002,000ffffe,2078005
01000b48,00000002,000ffffe,2078103
01000ba0,00000001,000ffffe,2078391
01000b48,00000002,000ffffe,2078537
01000b70,00000001,000ffffe,2078609
01000b28,00000001,000ffffe,2078646
01000b70,00000001,000ffffe,2078665
01000b40,00000001,000ffffe,2078675
01000b94,00000001,000ffffe,2078952
01000b8c,00000001,000ffffe,2079091
01000b8c,00000001,000ffffe,2079161
01000b58,00000001,000ffffe,2079468
01000b58,00000001,000ffffe,2079622
01000b54,0000000e,000801c8,2079984
01000b98,00000001,000ffffe,2080146
01000ba0,00000001,000ffffe,2080234
01000b70,00000001,000ffffe,2080550
01000b0c,00000002,000ffffe,2080949
01000b54,0000000e,000801c8,2081432
01000b40,00000001,000ffffe,2081655
01000b78,00000002,000ffffe,2082014
01000be4,00000001,000ffffe,2082432
00000a18,00000001,000ffffe,2082642
00000a00,00000001,000ffffe,2083019
00000a00,00000001,000ffffe,2083208
00000a34,00000001,000ffffe,2083303
000009d0,00000001,000ffffe,2083351
00000aa0,00000001,000ffffe,2083615
000009c4,00000001,000ffffe,2084019
00000a34,00000001,000ffffe,2084493
00000a50,00000001,000ffffe,2085002
00000a3c,00000001,000ffffe,2085257
00000a48,00000001,000ffffe,2085385
000009d0,00000001,000ffffe,2085689
00000a2c,0000013b,000800c0,2086395
00000a50,00000001,000ffffe,2086549
00000a34,00000001,000ffffe,2087055
000009c8,00000001,000ffffe,2087548
00000a20,00000002,000ffffe,2087796
00000a88,00000001,000ffffe,2087919
00000a18,00000001,000ffffe,2088221
00000a48,00000001,000ffffe,2088612
00000a00,00000001,000ffffe,2088808
000009fc,0000000e,000801cd,2089191
00000abc,00000008,000801cf,2089610
00000a00,00000001,000ffffe,2089816
00000a50,00000001,000ffffe,2089923
00000a48,00000001,000ffffe,2089977
00000a18,00000001,000ffffe,2090244
00000a50,00000001,000ffffe,2090378
00000a3c,00000001,000ffffe,2090717
00000a48,00000001,000ffffe,2090887
000009f0,00000002,000ffffe,2091376
000009d0,00000001,000ffffe,2091457
00000a2c,000001f1,000800a3,2091708
00000a4c,00000001,000ffffe,2091770
000009e8,00000001,000ffffe,2091927
00000a40,00000001,000ffffe,2092006
000009e8,00000001,000ffffe,2092046
00000a3c,00000001,000ffffe,2092306
00000a2c,0000f92a,00080150,2092537
00000a4c,00000001,000ffffe,2092708
000009f0,00000002,000ffffe,2093182
000009e8,00000001,000ffffe,2093418
00000a34,00000001,000ffffe,2093537
00000a4c,00000001,000ffffe,2093597
00000a3c,00000001,000ffffe,2093867
000009fc,0000000e,000801cd,2094287
00000a48,00000001,000ffffe,2094478
000009d0,00000001,000ffffe,2094852
00000a00,00000001,000ffffe,2095493
00000a18,00000001,000ffffe,2095872
00000a2c,00000253,00080141,2095873
00000a20,00000002,000ffffe,2096063
00000a18,00000001,000ffffe,2096397
00000a18,00000001,000ffffe,2096565
000009d0,00000001,000ffffe,2096889
000009f0,00000002,000ffffe,2097781
00000a2c,0000028b,00080060,2097973
000009d0,00000001,000ffffe,2098009
000009fc,0000000e,000801ce,2098137
00000a18,00000001,000ffffe,2098182
00000a34,00000001,000ffffe,2098451
00000a40,00000001,000ffffe,2098586
00000a34,00000001,000ffffe,2098654
00000a20,00000002,000ffffe,2098961
000009d0,00000001,000ffffe,2099353
000009e8,00000001,000ffffe,2099550
000009f0,00000002,000ffffe,2099650
00000a40,00000001,000ffffe,2099699
000009f0,00000002,000ffffe,2099965
00000a3c,00000001,000ffffe,2100097
00000a20,00000002,000ffffe,2100165
00000a4c,00000001,000ffffe,2100198
000009fc,0000000e,000801cf,2100468
00000a20,00000002,000ffffe,2100585
000009b4,00000002,000ffffe,2100650
00000a50,00000001,000ffffe,2100682
000009f0,00000002,000ffffe,2100700
00000a48,00000001,000ffffe,2100708
000009f0,00000002,000ffffe,2100714
00000a18,00000001,000ffffe,2100716
000009d0,00000001,000ffffe,2100991
00000a48,00000001,000ffffe,2101128
00000a40,00000001,000ffffe,2101197
000009fc,0000000e,000801d0,2101245
00000a2c,000002d1,00080061,2101438
000009e8,00000001,000ffffe,2101531
000009f0,00000002,000ffffe,2101673
000009fc,0000000e,000801cf,2101756
00000a48,00000001,000ffffe,2101779
00000a2c,000002d1,0008017e,2101970
000009fc,0000000e,000801d0,2102050
00000a18,00000001,000ffffe,2102438
00000a40,00000001,000ffffe,2102639
00000a50,00000001,000ffffe,2102740
00000a34,00000001,000ffffe,2102791
00000a20,00000002,000ffffe,2102818
01000b98,00000001,000ffffe,2103102
01000ba8,00000001,000ffffe,2103245
01000b40,00000001,000ffffe,2103317
01000ba4,00000001,000ffffe,2103625
01000b58,00000001,000ffffe,2104488
01000b40,00000001,000ffffe,2104723
01000b70,00000001,000ffffe,2105290
01000b84,000002f7,00080133,2105599
01000b48,00000002,000ffffe,2105638
01000b8c,00000001,000ffffe,2105811
01000b18,000002ef,000801d1,2105890
01000b98,00000001,000ffffe,2106138
01000b78,00000002,000ffffe,2106303
01000b78,00000002,000ffffe,2106625
01000b48,00000002,000ffffe,2107058
01000b94,00000001,000ffffe,2107274
01000b78,00000002,000ffffe,2107384
01000b48,00000002,000ffffe,2107439
01000b48,00000002,000ffffe,2107467
01000b8c,00000001,000ffffe,2107752
01000bdc,00000002,000ffffe,2108168
01000ba4,00000001,000ffffe,2108375
01000b98,00000001,000ffffe,2108751
01000b40,00000001,000ffffe,2109179
01000ba8,00000001,000ffffe,2110132
01000ba0,00000001,000ffffe,2110382
01000b84,000002f7,000801b3,2110391
01000b94,00000001,000ffffe,2110747
01000b98,00000001,000ffffe,2110930
01000b58,00000001,000ffffe,2111022
01000ba0,00000001,000ffffe,2111340
01000b58,00000001,000ffffe,2111739
01000b8c,00000001,000ffffe,2111939
01000ba8,00000001,000ffffe,2112311
01000b48,00000002,000ffffe,2112738
01000b98,00000001,000ffffe,2113417
01000b94,00000001,000ffffe,2113531
01000ba4,00000001,000ffffe,2113828
01000b84,000002f7,00080134,2113948
01000ba4,00000001,000ffffe,2114052
01000b8c,00000001,000ffffe,2114090
01000ba4,00000001,000ffffe,2114349
01000b48,00000002,000ffffe,2114480
01000b84,000002f7,00080143,2114735
01000b54,0000000e,000801d0,2114829
01000b58,00000001,000ffffe,2114985
01000b48,00000002,000ffffe,2115071
01000ba0,00000001,000ffffe,2115135
01000b28,00000001,000ffffe,2115418
01000b48,00000002,000ffffe,2115561
01000b54,00000295,000801cd,2115773
01000b78,00000002,000ffffe,2115904
01000b98,00000001,000ffffe,2116075
01000b28,00000001,000ffffe,2116401
01000ba4,00000001,000ffffe,2116836
01000b78,00000002,000ffffe,2117055
01000b78,00000002,000ffffe,2117436
01000b40,00000001,000ffffe,2117626
01000ba8,00000001,000ffffe,2117722
01000b0c,00000002,000ffffe,2118043
01000b48,00000002,000ffffe,2118443
01000b94,00000001,000ffffe,2118914
01000ba8,00000001,000ffffe,2119422
01000b28,00000001,000ffffe,2119916
01000b8c,00000001,000ffffe,2120403
01000b28,00000001,000ffffe,2120647
01000ba4,00000001,000ffffe,2121009
01000b98,00000001,000ffffe,2121430
01000ba0,00000001,000ffffe,2121641
01000b70,00000001,000ffffe,2121747
01000b40,00000001,000ffffe,2122040
01000b8c,00000001,000ffffe,2122187
01000ba4,00000001,000ffffe,2122261
01000ba8,00000001,000ffffe,2122570
01000ba0,00000001,000ffffe,2122725
01000b70,00000001,000ffffe,2122803
01000b8c,00000001,000ffffe,2123114
01000b98,00000001,000ffffe,2123270
01000b78,00000002,000ffffe,2124068
01000b54,0000000e,000801ce,2124304
01000b84,000002f7,000800cc,2124378
01000b94,00000001,000ffffe,2124675
01000b58,00000001,000ffffe,2125107
01000ba4,00000001,000ffffe,2125563
01000b70,00000001,000ffffe,2126063
01000b48,00000002,000ffffe,2126554
01000ba0,00000001,000ffffe,2127038
01000ba8,00000001,000ffffe,2127281
01000b94,00000001,000ffffe,2127403
01000b48,00000002,000ffffe,2127705
01000ba8,00000001,000ffffe,2127855
01000b48,00000002,000ffffe,2127932
01000b58,00000001,000ffffe,2128241
01000b78,00000002,000ffffe,2128835
01000ba8,00000001,000ffffe,2129205
01000b84,000002f7,000801c3,2129394
01000b54,0000000e,000801d0,2129404
01000ba0,00000001,000ffffe,2129724
01000b98,00000001,000ffffe,2129891
01000b98,00000001,000ffffe,2129975
01000ba8,00000001,000ffffe,2130289
01000b58,00000001,000ffffe,2130686
01000b78,00000002,000ffffe,2130986
01000b48,00000002,000ffffe,2131276
01000b84,000002f7,000801b5,2131643
01000b94,00000001,000ffffe,2131660
01000b54,0000000e,000801ce,2131866
01000b48,00000002,000ffffe,2131951
01000b94,00000001,000ffffe,2131999
01000b78,00000002,000ffffe,2132025
01000b70,00000001,000ffffe,2132037
01000ba4,00000001,000ffffe,2132044
01000b48,00000002,000ffffe,2132049
01000b98,00000001,000ffffe,2132322
01000b98,00000001,000ffffe,2132731
01000b70,00000001,000ffffe,2132936
01000b98,00000001,000ffffe,2133039
01000b78,00000002,000ffffe,2133092
01000b54,0000000e,000801ce,2133370
01000b48,00000002,000ffffe,2133763
01000b94,00000001,000ffffe,2133965
01000b98,00000001,000ffffe,2134067
01000ba8,00000001,000ffffe,2134504
01000b70,00000001,000ffffe,2134849
01000b98,00000001,000ffffe,2135022
01000ba8,00000001,000ffffe,2135109
01000b84,000002f7,00080108,2135116
01000b40,00000001,000ffffe,2135153
01000ba0,00000001,000ffffe,2135415
01000b70,00000001,000ffffe,2135818
01000ba0,00000001,000ffffe,2136020
01000b54,0000000e,000801ce,2136406
01000b8c,00000001,000ffffe,2136580
01000b58,00000001,000ffffe,2136674
01000b40,00000001,000ffffe,2136993
01000b58,00000001,000ffffe,2137153
01000b78,00000002,000ffffe,2137506
01000b54,0000000e,000801ce,2137966
01000b70,00000001,000ffffe,2138417
01000b48,00000002,000ffffe,2138922
01000b40,00000001,000ffffe,2139413
01000ba0,00000001,000ffffe,2139899
01000b40,00000001,000ffffe,2140382
01000b70,00000001,000ffffe,2140624
01000ba8,00000001,000ffffe,2140985
01000ba4,00000001,000ffffe,2141166
01000b70,00000001,000ffffe,2141257
01000b94,00000001,000ffffe,2141303
01000bec,00000001,000ffffe,2141566
01000b94,00000001,000ffffe,2141698
01000ba0,00000001,000ffffe,2142036
01000b40,00000001,000ffffe,2142477
01000ba4,00000001,000ffffe,2142698
01000ba0,00000001,000ffffe,2142809
01000ba0,00000001,000ffffe,2142865
01000b98,00000001,000ffffe,2143133
01000b98,00000001,000ffffe,2143539
01000b78,00000002,000ffffe,2144015
01000b78,00000002,000ffffe,2144253
01000ba4,00000001,000ffffe,2144611
01000b98,00000001,000ffffe,2144791
01000b58,00000001,000ffffe,2145121
01000b58,00000001,000ffffe,2145558
01000ba8,00000001,000ffffe,2145777
01000ba0,00000001,000ffffe,2145887
01000b94,00000001,000ffffe,2146182
01000b54,0000000e,000801ce,2146343
01000ba8,00000001,000ffffe,2146676
01000b78,00000002,000ffffe,2147345
01000b78,00000002,000ffffe,2147457
01000b70,00000001,000ffffe,2147752
01000b40,00000001,000ffffe,2148140
01000b48,00000002,000ffffe,2148607
01000b54,0000000e,000801d0,2149124
01000b40,00000001,000ffffe,2149364
01000b48,00000002,000ffffe,2149492
01000b98,00000001,000ffffe,2149555
01000b48,00000002,000ffffe,2149828
01000b40,00000001,000ffffe,2150235
01000ba4,00000001,000ffffe,2150711
01000b58,00000001,000ffffe,2151221
01000b78,00000002,000ffffe,2151717
01000b48,00000002,000ffffe,2151965
01000ba8,00000001,000ffffe,2152328
01000b40,00000001,000ffffe,2152750
01000b40,00000001,000ffffe,2153201
01000b54,0000000e,000801cf,2153440
00000994,00000001,000ffffe,2153780
00000a70,00000001,000ffffe,2153957
00000a50,00000001,000ffffe,2154046
00000a3c,00000001,000ffffe,2154091
00000a00,00000001,000ffffe,2154114
000009f0,00000002,000ffffe,2154127
00000a58,00000001,000ffffe,2154404
00000a4c,00000001,000ffffe,2154815
000009e8,00000001,000ffffe,2155021
00000a4c,00000001,000ffffe,2155396
00000a48,00000001,000ffffe,2155584
000009f0,00000002,000ffffe,2155919
00000a40,00000001,000ffffe,2156577
00000a2c,00000111,00080075,2156629
00000a2c,0000012d,0008008c,2157259
00000a48,00000001,000ffffe,2157390
00000a40,00000001,000ffffe,2157606
00000a18,00000001,000ffffe,2157986
00000a34,00000001,000ffffe,2158416
000009e8,00000001,000ffffe,2158871
00000a18,00000001,000ffffe,2159099
000009f0,00000002,000ffffe,2159454
00000a20,00000002,000ffffe,2159871
00000a4c,00000001,000ffffe,2160079
00000a18,00000001,000ffffe,2160184
000009f0,00000002,000ffffe,2160238
000009e8,00000001,000ffffe,2160264
000009e8,00000001,000ffffe,2160278
00000a2c,000001b9,00080076,2160997
00000a20,00000002,000ffffe,2161040
00000a2c,000001b9,000800c1,2161137
00000a34,00000001,000ffffe,2161482
00000a20,00000002,000ffffe,2161705
00000a00,00000001,000ffffe,2162087
